stock_id,signal_date,entry_price,support,resistance,ma20,deviation_pct,stop_baseline,stop_a,target_baseline,target_b,baseline_outcome,baseline_ret_pct,a_outcome,a_ret_pct,b_outcome,b_ret_pct,ab_outcome,ab_ret_pct
2330,2022-11-25,498.0,378.5,498.0,442.02,12.66,473.1,483.06,537.84,553.98,stopped,-5.0,stopped,-3.0,stopped,-5.0,stopped,-3.0
2330,2023-05-30,566.0,494.5,574.0,520.83,8.67,537.7,537.7,574.0,591.22,target,1.41,target,1.41,target,4.46,target,4.46
2330,2023-11-06,550.0,527.0,564.0,542.4,1.4,519.1,506.0,564.0,580.92,target,2.55,target,2.55,target,5.62,target,5.62
2330,2024-10-08,1010.0,891.0,1080.0,961.75,5.02,959.5,959.5,1080.0,1112.4,target,6.93,target,6.93,neither,5.45,neither,5.45
2330,2025-05-22,982.0,859.0,1085.0,945.6,3.85,932.9,903.44,1085.0,1117.55,neither,7.43,neither,7.43,neither,7.43,neither,7.43
2317,2023-02-21,102.5,98.0,107.0,100.76,1.73,96.53,94.3,107.0,110.21,neither,0.98,neither,0.98,neither,0.98,neither,0.98
2317,2023-12-18,102.0,100.5,108.0,101.47,0.52,98.99,93.84,108.0,111.24,neither,-1.96,neither,-1.96,neither,-1.96,neither,-1.96
2317,2024-02-26,103.5,99.9,105.0,102.09,1.38,98.4,95.22,105.0,108.15,target,1.45,target,1.45,target,4.49,target,4.49
2317,2024-10-14,199.0,169.5,219.0,186.07,6.95,189.05,189.05,219.0,225.57,target,10.05,target,10.05,neither,7.54,neither,7.54
2317,2025-05-29,156.0,142.0,176.0,152.43,2.35,148.2,143.52,176.0,181.28,neither,5.77,neither,5.77,neither,5.77,neither,5.77
2317,2026-05-06,252.0,196.5,253.5,216.65,16.32,239.4,244.44,253.5,261.11,target,0.6,target,0.6,target,3.62,stopped,-3.0
2454,2022-11-15,722.0,558.0,735.0,612.6,17.86,685.9,700.34,735.0,757.05,target,1.8,target,1.8,neither,-1.8,stopped,-3.0
2454,2023-02-07,717.0,621.0,756.0,691.7,3.66,681.15,659.64,756.0,778.68,target,5.44,target,5.44,target,8.6,target,8.6
2454,2023-06-08,768.0,661.0,794.0,724.3,6.03,729.6,729.6,794.0,817.82,stopped,-5.0,stopped,-5.0,stopped,-5.0,stopped,-5.0
2454,2023-09-11,714.0,667.0,793.0,696.4,2.53,678.3,656.88,793.0,816.79,target,11.06,target,11.06,target,14.4,target,14.4
2454,2024-02-23,1100.0,884.0,1100.0,955.9,15.07,1045.0,1067.0,1188.0,1223.64,target,8.0,stopped,-3.0,target,11.24,stopped,-3.0
2454,2024-05-28,1310.0,982.0,1320.0,1136.1,15.31,1244.5,1270.7,1320.0,1359.6,stopped,-5.0,stopped,-3.0,stopped,-5.0,stopped,-3.0
2454,2024-10-15,1300.0,1080.0,1365.0,1204.0,7.97,1235.0,1235.0,1365.0,1405.95,stopped,-5.0,stopped,-5.0,stopped,-5.0,stopped,-5.0
2454,2025-07-16,1410.0,1225.0,1420.0,1310.25,7.61,1339.5,1339.5,1420.0,1462.6,target,0.71,target,0.71,stopped,-5.0,stopped,-5.0
2454,2025-12-15,1420.0,1130.0,1545.0,1333.0,6.53,1349.0,1349.0,1545.0,1591.35,neither,5.63,neither,5.63,neither,5.63,neither,5.63
2454,2026-04-24,2435.0,1430.0,2435.0,1759.5,38.39,2313.25,2361.95,2629.8,2708.69,target,8.0,target,8.0,target,11.24,target,11.24
2308,2023-02-17,294.5,276.0,306.5,291.45,1.05,279.77,270.94,306.5,315.69,target,4.07,target,4.07,neither,-0.51,neither,-0.51
2308,2024-03-15,303.0,286.0,317.5,298.07,1.65,287.85,278.76,317.5,327.03,target,4.79,target,4.79,target,7.93,target,7.93
2308,2024-05-16,320.0,294.0,365.0,314.55,1.73,304.0,294.4,365.0,375.95,neither,10.47,neither,10.47,neither,10.47,neither,10.47
2308,2024-10-28,405.0,363.5,427.0,390.77,3.64,384.75,372.6,427.0,439.81,stopped,-5.0,neither,-4.32,stopped,-5.0,neither,-4.32
2308,2024-12-12,417.0,374.5,421.0,392.93,6.13,396.15,396.15,421.0,433.63,target,0.96,target,0.96,target,3.99,target,3.99
2308,2025-05-26,370.5,332.0,407.0,363.75,1.86,351.97,340.86,407.0,419.21,target,9.85,target,9.85,neither,12.55,neither,12.55
2308,2026-01-14,1060.0,886.0,1085.0,977.05,8.49,1007.0,1007.0,1085.0,1117.55,target,2.36,target,2.36,target,5.43,target,5.43
2382,2022-12-16,72.0,69.6,78.4,71.84,0.22,68.56,66.24,78.4,80.75,neither,2.92,neither,2.92,neither,2.92,neither,2.92
2382,2024-01-03,214.0,196.0,262.0,209.05,2.37,203.3,196.88,262.0,269.86,neither,15.42,neither,15.42,neither,15.42,neither,15.42
2382,2024-10-17,300.5,248.0,307.0,270.25,11.19,285.47,291.49,307.0,316.21,target,2.16,target,2.16,target,5.23,target,5.23
2382,2025-05-15,277.5,222.5,278.5,246.5,12.58,263.62,269.18,278.5,286.86,stopped,-5.0,stopped,-3.0,stopped,-5.0,stopped,-3.0
2382,2025-09-30,290.0,252.5,298.0,272.8,6.3,275.5,275.5,298.0,306.94,target,2.76,target,2.76,target,5.84,target,5.84
2382,2026-01-28,287.0,263.5,301.5,281.2,2.06,272.65,264.04,301.5,310.55,stopped,-5.0,target,5.05,stopped,-5.0,neither,-1.74
2891,2022-11-23,22.55,20.35,23.7,21.31,5.81,21.42,21.42,23.7,24.41,neither,-3.77,neither,-3.77,neither,-3.77,neither,-3.77
2891,2023-05-02,22.9,21.55,23.3,22.22,3.04,21.75,21.07,23.3,24.0,target,1.75,target,1.75,target,4.8,target,4.8
2891,2023-10-17,25.15,23.7,26.7,24.64,2.08,23.89,23.14,26.7,27.5,neither,3.98,neither,3.98,neither,3.98,neither,3.98
2891,2024-10-15,36.35,31.9,38.1,34.44,5.54,34.53,34.53,38.1,39.24,stopped,-5.01,stopped,-5.01,stopped,-5.01,stopped,-5.01
2891,2025-05-20,41.75,35.6,42.0,39.38,6.01,39.66,39.66,42.0,43.26,target,0.6,target,0.6,target,3.62,target,3.62
2891,2025-10-01,43.05,41.65,44.5,42.68,0.86,41.03,39.61,44.5,45.84,neither,-2.32,neither,-2.32,neither,-2.32,neither,-2.32
2891,2025-11-21,43.4,41.75,43.8,42.51,2.08,41.12,39.93,43.8,45.11,target,0.92,target,0.92,target,3.94,target,3.94
2882,2022-11-25,42.55,37.6,44.65,40.73,4.47,40.42,39.15,44.65,45.99,stopped,-5.01,neither,-3.29,stopped,-5.01,neither,-3.29
2882,2023-01-30,42.7,39.6,44.5,41.02,4.1,40.56,39.28,44.5,45.84,target,4.22,target,4.22,neither,0.12,neither,0.12
2882,2023-07-28,45.75,42.05,46.0,44.09,3.77,43.46,42.09,46.0,47.38,target,0.55,target,0.55,neither,-0.77,neither,-0.77
2882,2023-11-27,45.75,43.85,47.0,45.43,0.72,43.19,42.09,47.0,48.41,neither,-1.97,neither,-1.97,neither,-1.97,neither,-1.97
2882,2024-03-12,46.5,43.7,46.5,44.78,3.84,44.17,42.78,50.22,51.73,target,8.0,target,8.0,neither,6.88,neither,6.88
