language,file,field_id,category,detail
en,0-percent-financing,purchasePrice,UNCLASSIFIED,prefix=$
en,0-percent-financing,downPayment,UNCLASSIFIED,prefix=$
en,401k-contribution,(全頁),EXCEPTION,"已知美國制度專屬工具,維持USD"
en,alimony-calculator,payerIncome,UNCLASSIFIED,prefix=$
en,alimony-calculator,recipientIncome,UNCLASSIFIED,prefix=$
en,amazon-profit,selling_price,UNCLASSIFIED,prefix=$
en,amazon-profit,cogs,UNCLASSIFIED,prefix=$
en,amazon-profit,fba_fee,UNCLASSIFIED,prefix=$
en,annual-leave,dailyWage,UNCLASSIFIED,prefix=$
en,annuity-calculator,presentValue,UNCLASSIFIED,prefix=$
en,annuity-income,lumpSum,UNCLASSIFIED,prefix=$
en,appliance-energy,electricityRate,UNCLASSIFIED,prefix=$
en,apr-calculator,loanAmount,UNCLASSIFIED,prefix=$
en,apr-calculator,totalFees,UNCLASSIFIED,prefix=$
en,apr-calculator,processingFee,UNCLASSIFIED,prefix=$
en,asset-allocation,totalPortfolio,UNCLASSIFIED,prefix=$
en,atr-calculator,highPrice,UNCLASSIFIED,prefix=$
en,atr-calculator,lowPrice,UNCLASSIFIED,prefix=$
en,atr-calculator,closePrice,UNCLASSIFIED,prefix=$
en,average-down,(全頁),PLACEHOLDER,"技術分析/報價類工具,$為佔位符"
en,balloon-payment,loanAmount,UNCLASSIFIED,prefix=$
en,balloon-payment,balloonAmount,UNCLASSIFIED,prefix=$
en,bollinger-bands,(全頁),PLACEHOLDER,"技術分析/報價類工具,$為佔位符"
en,bond-yield,faceValue,UNCLASSIFIED,prefix=$
en,bond-yield,currentPrice,UNCLASSIFIED,prefix=$
en,bonus-tax,(全頁),EXCEPTION,"已知美國制度專屬工具,維持USD"
en,break-even-units,fixedCosts,UNCLASSIFIED,prefix=$
en,break-even-units,pricePerUnit,UNCLASSIFIED,prefix=$
en,break-even-units,variableCostPerUnit,UNCLASSIFIED,prefix=$
en,break-even,fixed_costs,UNCLASSIFIED,prefix=$
en,break-even,price_per_unit,UNCLASSIFIED,prefix=$
en,break-even,variable_cost,UNCLASSIFIED,prefix=$
en,burn-rate-calculator,monthlyExpenses,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,burn-rate-calculator,monthlyRevenue,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,burn-rate-calculator,cashReserve,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,business-exit-value,ebitda,UNCLASSIFIED,prefix=$
en,business-insurance,annualRevenue,UNCLASSIFIED,prefix=$
en,business-loan-calc,loanAmount,UNCLASSIFIED,prefix=$
en,cagr,beginning_value,UNCLASSIFIED,prefix=$
en,cagr,ending_value,UNCLASSIFIED,prefix=$
en,candlestick-identifier,(全頁),PLACEHOLDER,"技術分析/報價類工具,$為佔位符"
en,cap-rate,netOperatingIncome,UNCLASSIFIED,prefix=$
en,cap-rate,propertyValue,UNCLASSIFIED,prefix=$
en,capital-gains-tax,(全頁),EXCEPTION,"已知美國制度專屬工具,維持USD"
en,car-depreciation,purchasePrice,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,car-depreciation,residualValue,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,car-insurance-calc,vehicleValue,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,car-insurance-estimate,vehicleValue,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,car-lease-vs-buy,carPrice,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,car-lease-vs-buy,downPayment,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,car-lease-vs-buy,leaseMonthly,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,car-lease-vs-buy,annualMaintenance,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,car-lease-vs-buy,annualInsurance,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,car-lease-vs-buy,annualRegistration,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,car-lease-vs-buy,gasPrice,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,car-loan,loanAmount,UNCLASSIFIED,prefix=$
en,car-loan,downPayment,UNCLASSIFIED,prefix=$
en,cash-on-cash,annualCashflow,UNCLASSIFIED,prefix=$
en,cash-on-cash,cashInvested,UNCLASSIFIED,prefix=$
en,catch-up-contribution,(全頁),EXCEPTION,"已知美國制度專屬工具,維持USD"
en,child-support,payor_gross_income,UNCLASSIFIED,prefix=$
en,child-support,payee_gross_income,UNCLASSIFIED,prefix=$
en,child-support,annual_childcare_costs,UNCLASSIFIED,prefix=$
en,child-support,health_insurance_costs,UNCLASSIFIED,prefix=$
en,coast-fire-calc,fireNumber,UNCLASSIFIED,prefix=$
en,coffee-ratio,customRatio,UNCLASSIFIED,prefix=1:
en,college-savings,monthlyPayment,UNCLASSIFIED,prefix=$
en,college-savings,initialAmount,UNCLASSIFIED,prefix=$
en,commute-cost,fuelPrice,LOCALIZE,"使用美制單位(per gallon),需換算當地貨幣+單位"
en,commute-cost,dailyTolls,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,commute-cost,dailyParking,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,commute-cost,vehiclePrice,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,commute-cost,maintenanceAnnual,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,commute-cost,insuranceAnnual,LOCALIZE,"使用美制單位(見同頁其他欄位),需換算當地貨幣+單位"
en,company-registration,registration_fee,UNCLASSIFIED,prefix=$
en,company-registration,capital_duty,UNCLASSIFIED,prefix=$
en,company-registration,agent_fee,UNCLASSIFIED,prefix=$
en,compound-interest-debt,principal_amount,UNCLASSIFIED,prefix=$
en,compound-interest,principal,UNCLASSIFIED,prefix=$
en,cost-of-living,salaryCity1,UNCLASSIFIED,prefix=$
en,court-fee,claimAmount,UNCLASSIFIED,prefix=$
en,coverage-gap-finder,neededCoverage,UNCLASSIFIED,prefix=$
