year,subject,file_id
111,參考答案,1IeMHI4BmTpC_2Oc1lQ1Qj6XWHDf9qwGd
111,寫作測驗,1AkgLsD9UNsfIhulaXSqMGLKdXoWWPT4P
111,國文科,174XqqVxF7_kIR7aqRaHpDe9m8-YJBFzY
111,英語（閱讀）,1IyJBtIjySeyVAisE1YiCclYsSldQpHBf
111,英語（聽力）,1EVRfZmxfQQMTQ-2ksTmb1i5sozNM819a
111,數學科,15GDoX37pXdUsluIw79o2bkhgfiL1HxCG
111,社會科,1th-vb5HCBAhIv65OKXY646kHYbyggwQu
111,自然科,1OiQVdqtDQauNW_qwlCFTWLmcfBHuCjdm
112,參考答案,1OT5r0que_0bXSy0kwLEOEJMssce2OnL0
112,寫作測驗,1EUA2uOUApWOF-rrB91umx2Hi887KQ_3t
112,國文科,1dy9SuFFJro5R8SOIZRbA8ytq2Ol-UnZ9
112,英語（閱讀）,1SXbjT6B_F8eQh2GZEvB6KmgR0k2lDK8A
112,英語（聽力）,119yW4wSJXxczoMJqGihwXOsu94p8cmXU
112,數學科,1im3JF0E8d8RC__Z8MW9MQXCuonjPN3f_
112,社會科,1vIVX90btDzk3XnNVfSQv0wRTw2A6omjL
112,自然科,1Bo87vJFakmGzyUqqjHzTCF-fv75DFgx_
113,參考答案,1cWlogP9FBRX1eD5kjgVDP2_6f8VCLSB4
113,寫作測驗,1fhW7ywN8LoIGGroAMQS5JzqCStKlY2Ux
113,國文科,1Xr5AwMNQipYZblCEbZadyBvLVcT_8XSv
113,英語（閱讀）,1ZU8SG-4jdV1DGvPzpgzoi_hhRiD4NT3S
113,英語（聽力）,1iAZySLpGHqKdwyIlriM58ve8vW9aMV0Q
113,數學科,1MXfrOI_4KyxF6A-2NNd_J_eIuo3Epa46
113,社會科,1NJYibw-N2mHZP5lL8-rOhirWv_ZFQNiz
113,自然科,1lO1_3Iq62BmTHR8m29or7I8VtS8qZdDR
114,參考答案,175hz0lHG4GTDNxYet9lrRDu0lmC_G08o
114,寫作測驗,15yGt7NgV0OsYTP8LdYF7BCntfTjZwQ7q
114,國文科,102j8F3hoCvGgMCVP6x6oHN9cCd0R6_Ii
114,英語（閱讀）,1Or0bC16Jn2hA0uAF2zrryHoY46ywIQjK
114,英語（聽力）,1NQNXowVBpE4N7i790_88YXZ03zt2ktFn
114,數學科,1c2AGC67Bq344EdGSZkO9SZhrY50hHTJx
114,社會科,1vFl3qctoBXYcCtWbAqKUqhekIMgV6q-m
114,自然科,18_lHom7zYhyOoMvxHt4hKJS_CynFOoZ1
115,參考答案,1fxfOLQPMdCEMSuziD1qsQZg3vVOGt8df
115,寫作測驗,1NceEHPUXT0fZo6UgdCuSdGApQ4embM0t
115,國文科,1FQtq4_a4GTsTKURdzPhDkKmONKRXtTJ9
115,英語（閱讀）,1pzRZpkZEBg4x7GNTAIrdfGJCxNSKgok-
115,英語（聽力）,1zRjsoyQhLRJfmmHtBJfi5qJa6ND1uVJ6
115,數學科,1G-grfVw1NldMD3TRG-7Lco-yOuaoTKoK
115,社會科,1ITxBlFhNSIbg1u1C7FrU2ODk951wt-RT
115,自然科,1ZJNPG9Wz3zuI8UkPGUY50URejxxZYmQ8
