語言,檔案路徑,問題類型,可疑內容
zh-TW,D:\xian-shang-you-wei\backend\frontend\tools\bonus-tax.html,input-prefix貨幣符號可能不符語言,£
zh-TW,D:\xian-shang-you-wei\backend\frontend\tools\cagr.html,後綴疑似未翻譯(常見英文字),years
zh-TW,D:\xian-shang-you-wei\backend\frontend\tools\coffee-ratio.html,input-prefix貨幣符號可能不符語言,1:
zh-TW,D:\xian-shang-you-wei\backend\frontend\tools\gdpr-fine.html,input-prefix貨幣符號可能不符語言,€
zh-TW,D:\xian-shang-you-wei\backend\frontend\tools\heloc-vs-personal-loan.html,後綴疑似未翻譯(常見英文字),years
zh-TW,D:\xian-shang-you-wei\backend\frontend\tools\home-energy-audit.html,input-prefix貨幣符號可能不符語言,¥
zh-TW,D:\xian-shang-you-wei\backend\frontend\tools\home-energy-audit.html,input-prefix貨幣符號可能不符語言,¥
zh-TW,D:\xian-shang-you-wei\backend\frontend\tools\loan-vs-lease.html,input-prefix貨幣符號可能不符語言,%
zh-TW,D:\xian-shang-you-wei\backend\frontend\tools\payroll-tax.html,input-prefix貨幣符號可能不符語言,£
zh-TW,D:\xian-shang-you-wei\backend\frontend\tools\refinance-break-even.html,後綴疑似未翻譯(常見英文字),years
zh-TW,D:\xian-shang-you-wei\backend\frontend\tools\stamp-duty.html,input-prefix貨幣符號可能不符語言,£
zh-TW,D:\xian-shang-you-wei\backend\frontend\tools\take-home-pay.html,input-prefix貨幣符號可能不符語言,£
zh-TW,D:\xian-shang-you-wei\backend\frontend\tools\take-home-pay.html,input-prefix貨幣符號可能不符語言,£
zh-TW,D:\xian-shang-you-wei\backend\frontend\tools\tuition-cost.html,後綴疑似未翻譯(常見英文字),years
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\401k-contribution.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\401k-contribution.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\annual-leave.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\annual-leave.html,後綴疑似未翻譯(純英文字母),USD
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\appliance-energy.html,後綴疑似未翻譯(純英文字母),W
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\atr-calculator.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\average-down.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\average-down.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\average-down.html,後綴疑似未翻譯(純英文字母),shares
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\baby-growth.html,後綴疑似未翻譯(純英文字母),kg
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\baby-growth.html,後綴疑似未翻譯(純英文字母),cm
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\baby-growth.html,後綴疑似未翻譯(純英文字母),cm
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\balloon-payment.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\balloon-payment.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\battery-calculator.html,後綴疑似未翻譯(純英文字母),mAh
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\battery-calculator.html,後綴疑似未翻譯(純英文字母),mA
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\blood-pressure-chart.html,後綴疑似未翻譯(純英文字母),mmHg
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\blood-pressure-chart.html,後綴疑似未翻譯(純英文字母),mmHg
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\bmi-calculator.html,後綴疑似未翻譯(純英文字母),kg
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\bmi-calculator.html,後綴疑似未翻譯(純英文字母),m
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\bmr-calculator.html,後綴疑似未翻譯(純英文字母),kg
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\bmr-calculator.html,後綴疑似未翻譯(純英文字母),cm
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\bollinger-bands.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\bolt-torque.html,後綴疑似未翻譯(純英文字母),mm
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\bolt-torque.html,後綴疑似未翻譯(純英文字母),N
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\bonus-tax.html,input-prefix貨幣符號可能不符語言,£
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\bread-hydration.html,後綴疑似未翻譯(純英文字母),g
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\bread-hydration.html,後綴疑似未翻譯(純英文字母),g
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\business-loan-calc.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\caffeine-calculator.html,後綴疑似未翻譯(純英文字母),mg
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\caffeine-calculator.html,後綴疑似未翻譯(純英文字母),mg
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\caffeine-calculator.html,後綴疑似未翻譯(純英文字母),mg
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\caffeine-calculator.html,後綴疑似未翻譯(純英文字母),mg
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\caffeine-calculator.html,後綴疑似未翻譯(純英文字母),mg
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\calorie-calculator.html,後綴疑似未翻譯(純英文字母),cm
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\calorie-calculator.html,後綴疑似未翻譯(純英文字母),kg
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\calorie-density.html,後綴疑似未翻譯(純英文字母),kcal
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\calorie-density.html,後綴疑似未翻譯(純英文字母),g
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\cap-rate.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\cap-rate.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\capital-gains-tax.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\capital-gains-tax.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\capital-gains-tax.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\car-lease-vs-buy.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\car-lease-vs-buy.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\car-lease-vs-buy.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\car-lease-vs-buy.html,input-prefix貨幣符號可能不符語言,$
ja,D:\xian-shang-you-wei\backend\frontend\tools\ja\car-lease-vs-buy.html,input-prefix貨幣符號可能不符語言,$
