subject,grade,press,year,lesson_number_cn,lesson_name,vocab_preview
國語,1,南一版,113_2,一,太陽是充電機,"充,太,開心,大哭,青草..."
國語,1,南一版,113_2,二,春雨是什麼顏色,"蜻,蜓,顏色,綠色,蜻蜓..."
國語,1,南一版,113_2,三,山中音樂會,"樂,音,入口,會場,布置..."
國語,1,南一版,113_2,四,書是我的好朋友,"誰,跟,恐,龍,豚..."
國語,1,南一版,113_2,五,風喜歡和我玩,"輕,給,輕輕,突然,可是..."
國語,1,南一版,113_2,六,鄰居的小孩,"居,孩,常,躲,發..."
國語,1,南一版,113_2,七,畫畫,"啊,師,老,謝,感..."
國語,1,南一版,113_2,八,給松鼠的卡片,"秋,果,長大,長,地方..."
國語,1,南一版,113_2,九,張奶奶的寶貝,"樣,園,您,學,汗..."
國語,1,南一版,113_2,十,井裡的小青蛙,"肚子,世界,井,隻,除..."
國語,1,南一版,113_2,十一,吃星星的小鴨子,"怪,呀,鴨,塘,星星..."
國語,1,南一版,113_2,十二,快樂不止一半,"甜,分享,收成,不能,加油..."
國語,1,康軒版,113_2,一,看,"靜,要,花草,白雲,天空..."
國語,1,康軒版,113_2,二,花園裡有什麼？,"快,身上,新芽,輕快,沒有..."
國語,1,康軒版,113_2,三,媽媽的音樂會,"音,媽,上桌,好吃,過後..."
國語,1,康軒版,113_2,四,鞋,"口,享,受,溫,暖..."
國語,1,康軒版,113_2,五,小種子快長大,"公,陪伴,光,陽光,澆水..."
國語,1,康軒版,113_2,六,奶奶的小跟班,"奶,跟,班,床,弟..."
國語,1,康軒版,113_2,七,作夢的雲,"黑,糖,棉,作,變..."
國語,1,康軒版,113_2,八,妹妹的紅雨鞋,"妹妹,雙,穿,金魚,魚缸..."
國語,1,康軒版,113_2,九,七彩的虹,"刷,低,馬,淨,洗..."
國語,1,康軒版,113_2,十,和你在一起,"說說笑笑,地,化,趣,線..."
國語,1,康軒版,113_2,十一,生日快樂,"福,第,次,謝,生日..."
國語,1,康軒版,113_2,十二,小黑,"幫,加油,一會兒,休息,清楚..."
國語,1,翰林版,113_2,一,春天來了,"裡,春,就是,暖和,天氣..."
國語,1,翰林版,113_2,二,小雨,"愛,稻,苗,唱歌,輕輕..."
國語,1,翰林版,113_2,三,美好的一天,"涼,好像,妹妹,衣服,拍照..."
國語,1,翰林版,113_2,四,送什麼呢,"卡,片,畫,寫,話..."
國語,1,翰林版,113_2,五,窗外的小麻雀,"急,下課,可以,心急,但是..."
國語,1,翰林版,113_2,六,毛毛蟲過河,"葉子,毛,陽,光,兒..."
國語,1,翰林版,113_2,七,借筆,"自,今,家,每,都..."
國語,1,翰林版,113_2,八,兩張卡片,"桌,忽然,啊,忍不住,不好意思..."
國語,1,翰林版,113_2,九,友情的枴杖,"得,覺,康,健,步..."
國語,1,翰林版,113_2,十,一棵小樹,"聽見,棵,樹,打,雷..."
國語,1,翰林版,113_2,十一,鉛筆和橡皮擦,"學,橡,擦,確,鉛筆..."
國語,1,翰林版,113_2,十二,上臺說故事,"段,同學,動物,一段,時間..."
國語,2,南一版,113_2,一,彩色心情,"火紅,受,藏,心情,時候..."
國語,2,南一版,113_2,二,勇敢超人,"哥,盆,合,勇敢,淨..."
國語,2,南一版,113_2,三,小波氣球飛上天,"脾,喊,踢,結,變..."
國語,2,南一版,113_2,四,小水珠，去哪裡?,"姐,懶,滾,水珠,甲蟲..."
國語,2,南一版,113_2,五,生日快樂,"忍,清涼,寶貝,海浪,眼睛..."
國語,2,南一版,113_2,六,給地球的一封信,"餐具,浪費,康復,封,信..."
國語,2,南一版,113_2,七,傘,"叩,答案,傘,烏,暗..."
國語,2,南一版,113_2,八,老園丁的話,"公,布告牌,各位,重新,欣賞..."
國語,2,南一版,113_2,九,小小說書人,"息,拿,讀,精,采..."
國語,2,南一版,113_2,十,點金術,"桌,切,並,求,純..."
國語,2,南一版,113_2,十一,我喜歡你,"講,論,颳,勵,失敗..."
國語,2,南一版,113_2,十二,如果，我的房間...,"晨,自由自在,早晨,新鮮,而且..."
國語,2,康軒版,113_2,一,春天的顏色,"蜜蜂,顏色,池塘,蔚藍,高興..."
國語,2,康軒版,113_2,二,花衣裳,"剪,合,慶,衣裳,驚喜..."
國語,2,康軒版,113_2,三,彩色王國,"互換,各自,突然,變壞,奇特..."
國語,2,康軒版,113_2,四,爸爸,"窗,避,散發,光芒,透過..."
國語,2,康軒版,113_2,五,我的家人,"寶貝,不管,寶,安,辛苦..."
國語,2,康軒版,113_2,六,愛笑的大樹,"腳踏車,校園,哥哥,教,室..."
國語,2,康軒版,113_2,七,月光河,"吸,鼻,請,之,辦..."
國語,2,康軒版,113_2,八,黃狗生蛋,"相信,議,鴕,經過,奇怪..."
國語,2,康軒版,113_2,九,神筆馬良,"銀,派,帝,皇,貪..."
國語,2,康軒版,113_2,十,快樂的探險家,"航行,精采,險,詩,科..."
國語,2,康軒版,113_2,十一,小讀者樂園,"索,奧,讀者,圖書館,參加..."
國語,2,康軒版,113_2,十二,巨人山,"量,到底,底,髮,巨人..."
國語,2,翰林版,113_2,一,種子旅行真奇妙,"公園,界,踏,鬼,刺..."
國語,2,翰林版,113_2,二,第一次旅行,"覺,第,救,浪,流..."
國語,2,翰林版,113_2,三,不怕去探險,"非,萍,舞,暴,處..."
國語,2,翰林版,113_2,四,一場雨,"塘,爺,搞,楚,農夫..."
國語,2,翰林版,113_2,五,笑容回來了,"亂,漸漸,改,合,利..."
國語,2,翰林版,113_2,六,好好的說話,"完整,足球,禮貌,從,臺..."
國語,2,翰林版,113_2,七,孵蛋的男孩,"助,求,母,啄,窩..."
國語,2,翰林版,113_2,八,點亮世界的人,"約,歲,燈,已,電..."
國語,2,翰林版,113_2,九,色彩變變變,"將,呵,難,消,幾..."
國語,2,翰林版,113_2,十,醜小鴨,"雪,醜,伴,羽,悄..."
國語,2,翰林版,113_2,十一,蜘蛛救蛋,"算,吐,顧,媧,蜘蛛..."
國語,2,翰林版,113_2,十二,玉兔搗藥,"操,運動,夜夜,體操,嚇一跳..."
國語,3,南一版,113_2,一,最美的模樣,"首,撐,吼叫,嘴巴,恐龍..."
國語,3,南一版,113_2,二,玩玩具,"參,容,另外,羨慕,洋娃娃..."
國語,3,南一版,113_2,三,愛玉的變身術,"玉,炎,糖水,搓洗,容器..."
國語,3,南一版,113_2,四,楊修猜字,"驚,有名,丞相,曹操,楊修..."
國語,3,南一版,113_2,五,唱反調,"錢,偏偏,陽光普照,千萬,厲害..."
國語,3,南一版,113_2,六,一飛沖天,"松鼠,混亂,村,猴,抖..."
國語,3,南一版,113_2,七,井仔腳鹽田,"堂,幢,棋,塔,抹..."
國語,3,南一版,113_2,八,和魚一起游泳,"底,叔,海底,郵筒,上岸..."
國語,3,南一版,113_2,九,三峽老街樂藍染,"示,磚,治,籠,燈..."
國語,3,南一版,113_2,十,地球的眼淚,"岩石,沖刷,鹹,之,川..."
國語,3,南一版,113_2,十一,枯木是大飯店,"不僅,築巢,適合,現代,柴火..."
國語,3,南一版,113_2,十二,騎樓,"社,商店,社區,萬華,建築..."
國語,3,康軒版,113_2,一,許願,"晨,願,飛翔,耀眼,鮮豔..."
國語,3,康軒版,113_2,二,下雨的時候,"各式各樣,連,五顏六色,探險,輕紗..."
國語,3,康軒版,113_2,三,遇見美如奶奶,"腦子,標語,短髮,眼鏡,書架..."
國語,3,康軒版,113_2,四,工匠之祖,"鋸,左思右想,鐵匠,不起眼,工匠..."
國語,3,康軒版,113_2,五,學田鼠開路,"頭痛,建議,費用,議員,市議會..."
國語,3,康軒版,113_2,六,神奇密碼,"科技,周,省,票,碼..."
國語,3,康軒版,113_2,七,油桐花．五月雪,"肩,禮,梢,抬,取..."
國語,3,康軒版,113_2,八,大自然的美術館,"野,香菇,豆腐,雕塑,鬼斧神工..."
國語,3,康軒版,113_2,九,臺灣的山椒魚,"球,伐,縫,持,保..."
國語,3,康軒版,113_2,十,漁夫和金魚,"盆,濤,藻,破,隆..."
國語,3,康軒版,113_2,十一,聰明的鼠鹿,"不懷好意,眼前,難聽,身分,說服..."
國語,3,康軒版,113_2,十二,還要跌幾次,"心驚肉跳,毫無,流傳,自告奮勇,有氣無力..."
國語,3,翰林版,113_2,一,拔不起來的筆,"不願,潔白,牆壁,來來往往,究竟..."
國語,3,翰林版,113_2,二,還差一點,"微笑,微,訣,缸,豎..."
國語,3,翰林版,113_2,三,用膝蓋跳舞的女孩,"休克,臂,跪,腕,膝蓋..."
