subject,grade,press,year,lesson_number_cn,lesson_name,vocab_preview
數學,3,翰林版,109_1,,數學三上語詞表,"分數,直徑,直角,估算,半徑..."
數學,3,翰林版,109_1,,周界和周長,"尺寸,規格,圖形,周長,周界"
數學,4,翰林版,109_1,,角度,"量角器,角度,平角,周角,旋轉角..."
數學,4,翰林版,109_1,,三角形,"鈍角,等腰三角形,銳角,正三角形,直角三角形..."
數學,5,翰林版,109_1,,平面圖形,"正方形,長方形,三角形,四邊形,正五邊形..."
數學,5,翰林版,109_1,,面積,"梯形,平行四邊形,正方形,長方形,四邊形..."
數學,5,翰林版,109_1,,面積,"梯形,四邊形,等腰梯形,直角梯形"
數學,5,翰林版,109_1,,線對稱圖形,"對稱,對稱軸,對稱點,對稱邊,對稱角"
數學,5,翰林版,109_1,,線對稱圖形,"對稱,對稱軸,對稱點,線對稱,軸對稱"
數學,6,翰林版,109_1,,等量公理,"等號,四則運算,乘法,加法,等量公理..."
數學,6,翰林版,109_1,,圓周長與扇形弧長,"直徑,圓周率,弧長,扇形,圓心角"
