subject,grade,press,year,lesson_number_cn,lesson_name,vocab_preview
社會,1,南一版,109_1,,投資,"過度,衡量,貨幣,消費,投資..."
社會,1,康軒版,109_1,,家庭組成,"珍惜,尊敬,愛護,問候,長幼有序..."
社會,3,南一版,114_2,,居住的地方,"石滬,身分證,都市,大眾運輸,鄉村..."
社會,3,南一版,114_2,,地方生活,"原住民,守望相助,志工,衛生所,村長"
社會,3,南一版,114_2,,生活理財,"保險,醫療,賠償,記帳,理財..."
社會,3,南一版,114_2,,居住地方的地名與故事,"引水,諸羅"
社會,3,康軒版,114_2,,我們居住的地方,"門牌,鄰里,戶口名簿,身分證,部落..."
社會,3,康軒版,114_2,,居住地方的風貌,"電信,通訊,向心力,義賣,偏見..."
社會,3,康軒版,114_2,,消費與生活,"禮券,消費,銅錢,紙鈔,風潮..."
社會,3,康軒版,114_2,,消費與選擇,"過度,綠色消費,身心障礙,統一發票,雲端..."
社會,3,康軒版,114_2,,家鄉的地名,"開墾,行政區"
社會,3,康軒版,114_2,,家鄉的故事,"人文,琉璃珠,祭典,節慶,瑠公圳..."
社會,3,康軒版,109_1,,和諧的相處,"公平,觀念,發展,欣賞,變遷..."
社會,3,康軒版,109_1,,校園安全,"霸凌,暗藏"
社會,3,康軒版,109_1,,清領前期的臺灣,"荷蘭王國（Kingdom of the Netherlands）,熱蘭遮城,荷治時期,新港文書"
社會,3,翰林版,114_2,,我居住的地方,"伊斯蘭教,都市,鄉村,生活習慣,門牌..."
社會,3,翰林版,114_2,,多元的生活的空間,"養殖,蜂炮,藝文活動,捕撈,公共設施..."
社會,3,翰林版,114_2,,生活中的各行各業,"自然資源,藥師,分工,線上購物,畜牧業..."
社會,3,翰林版,114_2,,生活與工作的轉變,"農業社會,人力,社會變遷,空服員"
社會,3,翰林版,114_2,,儲蓄與消費的選擇,"購物袋,統一發票,行動支付,壓歲錢,零用錢..."
社會,3,翰林版,109_1,,我會快樂學習,"效率,規律,端正,善用,休閒"
社會,3,翰林版,109_1,,善用學習資源,"專家,興趣,學者,遺址,網路..."
